"BehaviorSpace results (NetLogo 6.2.1)"
"/home/s1426633/PEKRIS.nlogo"
"SA"
"08/31/2023 09:40:02:466 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","[step]","species","chla_supply","vegetation_delay","krill_amount","chla_growth","salp_immigration_probability","salp_mortality","krill_mortality","salp_amount","chla_decay","salp_length","salp_starvation","krill_hibernation","salp_halfsat","krill_halfsat","salp_grazing","max_abundance_salp_season","median_abundance_salp_overall","abundance_krill","mean_length_krill","sum_eggs_krill"
"87","2160","both","Lognorm","33","40","0.299","0.516","1.99","0.074","10","0.0604","3","41","30","0.297","0.049","0.00246","2044","1172.5","1250","3.99","575429"
"31","2160","both","Const","65","40","0.335","0.604","1.28","0.091","7","0.0265","3.6","36","14.8","0.267","0.118","0.00249","540335","478649","6","4.13","0"
"79","2160","salps","Const","48","44","0.25","0.803","2.3","0.102","8","0.0713","3.6","27","26.6","0.248","0.051","0.00234","8039","56512","0","0","0"
"66","2160","both","Lognorm","45","23","0.277","0.441","1.36","0.099","14","0.028","3.6","32","28.7","0.277","0.101","0.00363","322627","135958","4","3.43","0"
"90","2160","salps","Lognorm","61","31","0.265","0.547","2.21","0.062","13","0.0725","4.4","15","14.2","0.241","0.09","0.00208","5120","769","0","0","0"
"89","2160","salps","Lognorm","25","21","0.141","0.759","2.03","0.072","12","0.0426","3.5","21","15.2","0.179","0.085","0.00296","6547","27987","0","0","0"
"92","2160","krill","Const","62","45","0.341","1.098","3.13","0.095","15","0.0419","2.8","33","29.7","0.177","0.054","0.00209","0","0","13839","4.82","7406831"
"77","2160","salps","Const","51","38","0.323","0.921","2.49","0.06","5","0.0312","4","22","23.8","0.209","0.052","0.00218","24923","260211.5","0","0","0"
"99","2160","salps","Const","48","42","0.261","1.138","2.87","0.066","8","0.0462","3.9","23","12","0.101","0.071","0.00136","3","390","0","0","0"
"94","2160","both","Const","44","21","0.303","0.712","3.35","0.057","7","0.0713","3.6","31","23","0.119","0.058","0.00315","11158","73584.5","9","7.03","0"
"101","2160","both","Lognorm","67","20","0.249","1.046","2.87","0.077","10","0.0384","3.3","42","12.7","0.17","0.059","0.00171","3231","225.5","501","6.44","468644"
"86","2160","salps","Const","55","40","0.366","0.999","2.23","0.093","7","0.0458","2.4","17","15","0.156","0.055","0.00177","17145","186577.5","0","0","0"
"91","2160","salps","Lognorm","54","45","0.37","0.957","2.42","0.056","5","0.0647","3.9","31","14.5","0.145","0.109","0.00294","229478","112539","0","0","0"
"102","2160","krill","Lognorm","45","22","0.218","0.849","2.37","0.09","12","0.0498","2.6","45","29.9","0.273","0.084","0.00178","0","0","18","4.7","6307"
"93","2160","both","Const","34","18","0.334","0.868","2.32","0.037","12","0.052","2.9","35","18.6","0.276","0.135","0.00231","25863","134982.5","101","5.67","36583"
"104","2160","krill","Lognorm","58","15","0.365","0.566","1.98","0.091","7","0.0534","3.8","37","22.4","0.158","0.062","0.0031","0","0","261","6.09","141677"
"52","2160","both","Const","61","39","0.337","0.803","1.55","0.092","13","0.0542","2.5","37","18.7","0.283","0.076","0.00269","262079","296334.5","3","5.03","0"
"105","2160","krill","Const","38","43","0.165","1.244","1.35","0.087","15","0.051","2.4","30","25.2","0.258","0.128","0.00227","0","0","109","5.01","41588"
"100","2160","salps","Lognorm","36","31","0.309","0.901","1.73","0.076","13","0.0652","2.7","23","24.5","0.275","0.123","0.0026","44732","23808","0","0","0"
"106","2160","both","Lognorm","47","28","0.272","0.799","1.47","0.102","5","0.0636","2.4","44","21.4","0.243","0.117","0.00132","2","77","37","4.01","11003"
"97","2160","salps","Const","37","16","0.196","0.547","2.86","0.036","14","0.0343","2.6","20","26.2","0.206","0.117","0.0028","7571","172086","0","0","0"
"108","2160","salps","Const","46","17","0.16","0.574","3.31","0.089","12","0.0341","3.5","29","13.6","0.213","0.047","0.0018","354","389","0","0","0"
"110","2160","krill","Lognorm","57","43","0.205","0.521","1.73","0.049","12","0.0297","1.9","38","28.7","0.196","0.121","0.00273","0","0","342","5.52","163528"
"109","2160","salps","Const","63","29","0.176","1.239","2.31","0.1","8","0.0681","4.2","37","28.1","0.165","0.108","0.00198","2222","3932.5","0","0","0"
"111","2160","krill","Lognorm","46","27","0.165","0.552","2.63","0.076","8","0.0412","2.6","34","28.9","0.129","0.106","0.00262","0","0","35","3.85","11153"
"113","2160","krill","Lognorm","30","16","0.283","1.242","1.34","0.084","11","0.0496","4.2","15","27.5","0.214","0.079","0.00362","0","0","26","5.3","10184"
"112","2160","krill","Const","56","29","0.136","0.804","1.66","0.086","15","0.0259","2","39","14.1","0.164","0.097","0.00293","0","0","1892","5.99","1921445"
"115","2160","krill","Lognorm","57","25","0.32","1.028","1.85","0.049","7","0.0517","1.7","41","13.6","0.193","0.096","0.00334","0","0","143","5.71","47169"
"103","2160","both","Const","29","44","0.141","0.838","1.73","0.095","5","0.0569","4.4","20","24.8","0.131","0.102","0.00202","13148","59818.5","1","3.79","0"
"116","2160","krill","Lognorm","49","22","0.373","0.665","2.75","0.082","13","0.0327","3.6","25","25.5","0.112","0.062","0.00369","0","0","4665","4.87","2288506"
"119","2160","krill","Lognorm","42","17","0.295","0.988","2.33","0.056","5","0.0473","2","22","15.1","0.259","0.114","0.00172","0","0","68","5.23","20628"
"120","2160","both","Lognorm","65","36","0.361","0.469","2.2","0.072","11","0.0652","3.5","35","21.7","0.269","0.122","0.0019","2338","92.5","63","4.68","22257"
"121","2160","krill","Lognorm","42","27","0.223","1.207","2.52","0.068","7","0.0477","3.9","37","16.8","0.126","0.091","0.00194","0","0","84","4.94","27334"
"114","2160","both","Lognorm","61","17","0.277","1.042","2.66","0.038","9","0.0372","2.9","26","28.2","0.194","0.101","0.00226","11772","2080","89","5.43","28820"
"122","2160","krill","Lognorm","30","23","0.146","0.456","2.54","0.053","9","0.0623","3.8","21","21.2","0.149","0.125","0.00248","0","0","7","4.95","0"
"123","2160","both","Lognorm","64","19","0.372","0.533","3.4","0.052","8","0.0282","1.9","27","22.9","0.178","0.096","0.00217","18060","470.5","784","4.86","261746"
